End Date;End Time;NO2
11/01/2023;15:00:00;29.73654
11/01/2023;16:00:00;42.04426
11/01/2023;17:00:00;37.42742
11/01/2023;18:00:00;44.46381
11/01/2023;19:00:00;43.03845
11/01/2023;20:00:00;36.58376
11/01/2023;21:00:00;22.66985
11/01/2023;22:00:00;16.17170
11/01/2023;23:00:00;11.43454
11/01/2023;24:00:00;8.11209
12/01/2023;01:00:00;7.32971
12/01/2023;02:00:00;7.32824
12/01/2023;03:00:00;5.12476
12/01/2023;04:00:00;6.70372
12/01/2023;05:00:00;6.29082
12/01/2023;06:00:00;11.31198
12/01/2023;07:00:00;22.65979
12/01/2023;08:00:00;29.18136
12/01/2023;09:00:00;34.66796
12/01/2023;10:00:00;28.12333
12/01/2023;11:00:00;22.64850
12/01/2023;12:00:00;21.49128
12/01/2023;13:00:00;22.84144
12/01/2023;14:00:00;24.04727
12/01/2023;15:00:00;29.64729
12/01/2023;16:00:00;37.01479
12/01/2023;17:00:00;30.44069
12/01/2023;18:00:00;32.82484
12/01/2023;19:00:00;27.81253
12/01/2023;20:00:00;26.53994
12/01/2023;21:00:00;17.75941
12/01/2023;22:00:00;14.36680
12/01/2023;23:00:00;13.25721
12/01/2023;24:00:00;10.07866
13/01/2023;01:00:00;6.71200
13/01/2023;02:00:00;6.24358
13/01/2023;03:00:00;5.56078
13/01/2023;04:00:00;7.08368
13/01/2023;05:00:00;7.16763
13/01/2023;06:00:00;11.76320
13/01/2023;07:00:00;28.11402
13/01/2023;08:00:00;32.30105
13/01/2023;09:00:00;36.21348
13/01/2023;10:00:00;29.86703
13/01/2023;11:00:00;23.35249
13/01/2023;12:00:00;20.85111
13/01/2023;13:00:00;21.63512
13/01/2023;14:00:00;26.36078
13/01/2023;15:00:00;28.46442
13/01/2023;16:00:00;41.13127
13/01/2023;17:00:00;41.45016
13/01/2023;18:00:00;49.48300
13/01/2023;19:00:00;52.81737
13/01/2023;20:00:00;42.21220
13/01/2023;21:00:00;35.13698
13/01/2023;22:00:00;28.76680
13/01/2023;23:00:00;26.83490
13/01/2023;24:00:00;22.45570
14/01/2023;01:00:00;15.29207
14/01/2023;02:00:00;9.12217
14/01/2023;03:00:00;8.53425
14/01/2023;04:00:00;6.05700
14/01/2023;05:00:00;4.69023
14/01/2023;06:00:00;4.69779
14/01/2023;07:00:00;5.12315
14/01/2023;08:00:00;8.39495
14/01/2023;09:00:00;12.03893
14/01/2023;10:00:00;16.87687
14/01/2023;11:00:00;18.59141
14/01/2023;12:00:00;29.49977
